id_property,date_scrape,property_name,date_post,date_update,area_m2,price_eur,rooms,heating,parking,furniture,details,description,location
NkKEIg3ulQ7,2023-08-09,"Novi Beograd, Hala sportova,1.5 renoviran, id 4590",24.07.2023,24.07.2023,35,500,2.0,Centralno,Ne,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 35 m² Opremljenost nekretnine: Namesten sa uredjajima Ukupan broj soba: 2 Spratnost: 6 Ukupan broj spratova: 8,Renoviran 1.5 stan u blizini Hale sportova. Odmah useljiv. Agencijska provizija 50%.,"Srbija, Grad Beograd, Beograd, Novi Beograd Blok 4 (Politehnicka akademija)"
NkHwK6fi-aX,2023-08-09,"Bulevar, Djeram, 2.0 lux novogradnja, id 4591",24.07.2023,24.07.2023,55,800,2.0,Centralno,Ne,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 55 m² Stanje nekretnine: Novogradnja Opremljenost nekretnine: Namesten sa uredjajima Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 4 Ukupan broj spratova: 6,Namesten dvosoban stan u luksuznoj novogradnji kod Djeram pijace iz 2022. godine. Useljiv od 20.08. Agencijska provizija 50%.,"Srbija, Grad Beograd, Beograd, Djeram pijaca"
NkIOrJCXlpX,2023-08-09,"Novi Beograd, Blok 9a, Dzona Kenedija, 2.0, 61m2, 1200 EUR",08.08.2023,09.08.2023,61,1200,2.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 61 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 2 Spratnost: 7 Ukupan brој spratova: 10,"Kompletno namesten, ekskluzivan stan na prestiznoj lokaciji, neuseljavan, opremljen kvalitetnim namestajem, odvojena spavaca soba, u cenu uracunato garazno mesto. Agencijska provizija se placa u iznosi od 50% + pdv dogovorene jednomesecne zakupnine za period zakupa u trajanju do 12 meseci   GREJANJE - CG, sprat 7/10, LIFT, TERASA, GARAZA, PARKING, NOVOGRADNJA, INTERFON, VIDEO NADZOR ID oglasa: 20791.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 9a (Dom Zdravlja), Dzona Kenedija"
Nk1uRjzgoBH,2023-08-09,"DEDINJE, Neznanog junaka - 3.0 lux polunamesten",08.08.2023,08.08.2023,100,1800,3.0,Etazno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 100 m² Stanje nekretnine: Novogradnja Ukupan broj soba: 3 Broj kupatila: 2 Spratnost: 1,"Za izdavanje - trosoban, polunamesten, luksuzan stan u reprezentativnoj novogradnji, u blizini RTV Pink. Garazno mesto u podzemnoj garazi zgrade uracunato u cenu. Agencijska provizija 50%.","Srbija, Grad Beograd, Beograd, Dedinje (RTV Pink), Neznanog junaka"
Nkm9lvBcG4v,2023-08-09,"BULEVAR MIHAILA PUPINA, 3.0, 74m2 - LUX - BLOK 21 - SEST KAPLARA  !!",06.08.2023,06.08.2023,74,600,3.0,Centralno,Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 74 m² Uknjizeno: Da Stanje nekretnine: Lux Opremljenost nekretnine: Iznad standarda Pozicija: Centar Ukupan broj soba: 3 Broj kupatila: 2 Spratnost: 16 Ukupan broj spratova: 17,AGENCIJSKA PROVIZIJA 50%,"Srbija, Grad Beograd, Beograd, Novi Beograd Blok 21 (10. Gimnazija), BULEVAR MIHAILA PUPINA"
NkYwNSZ4US9,2023-08-09,Izdavanje luksuznih stanova na Vracaru / 4.0 / 2 garazna,07.08.2023,07.08.2023,171,2800,4.0,Centralno,Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 171 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Opremljenost nekretnine: Iznad standarda Ukupan broj soba: 4 Broj kupatila: 3 Spratnost: 3,.,"Srbija, Grad Beograd, Beograd, Vracar (Hram)"
NkNxgP95_DE,2023-08-09,Izdavanje luksuznih stanova - 4.0 / 2 garazna - KALENIC,07.08.2023,07.08.2023,236,2450,4.0,Centralno,Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 236 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Opremljenost nekretnine: Iznad standarda Ukupan broj soba: 4 Broj kupatila: 3 Spratnost: 4,"Mastovit, ekscentrican i eklektican dizajn, u kojem su iskombinovani elementi nebrojeno stilova, od geometrijskog do avangardnog, od baroka do op-arta. Nije samo stvar u skupom namestaju i asesoarima, vec u hrabrosti dizajnera da se poigra, na vrlo znalacki nacin, konceptima koji su generalno nespojivi. Savrsen primer da ne mora sve, pa ni zivotni prostor, da bude ozbiljno. Za sve vas, koji ne prestajete da se igrate.","Srbija, Grad Beograd, Beograd, Vracar (Centar)"
Nkr-VFllPml,2023-08-09,Gospodara Vucica 61m2 novogradnja sa parkingom,28.07.2023,28.07.2023,60,700,2.5,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 60 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 2.5 Broj kupatila: 1 Spratnost: 3 Ukupan broj spratova: 7,"Izdajemo konforan dvoiposoban stan povrsine 61m2 koji se nalazi na Zvezdari kod ulice Gospodara Vucica. Stan se nalazi na 3. spratu nove zgrade od 7 spratova. Sastoji se od hodnika, dve spavace sobe, dnevnog boravka sa trpezarijom i kuhinjom, terase, kupatila i toaleta. Kompletno je namesten novim namestajem i uredjajima. CG sa kalorimetrima po potrosnji klima lift Uz stan ide i garazno mesto u garazi zgrade. Odlicna lokacija, blizina Bulevara, Vojislava ilica ulice, vise prevoza, marketa. Kucni ljubimci nisu dozvoljeni. Depozit Agencijska provizija 50% od dogovorene cene ukljucuje: istrazivanje neophodno za pronalazenje adekvatne nekretnine, pomoc u pregovorima,  provera dokumentacije, apliciranje za stambeni kredit, izrada ugovora/predugovora o kupoprodaji, organizacija primopredaje, zapisnik o primopredaji, pomoc pri prijavi poreza na apsolutna prava i eventualno oslobodjenje od istog, promena korisnika struje, infostana, vode, gasa... i sve ostalo sto podrazumeva Zakon o posredovanju u prometu i zakupu nepokretnosti. Kontakt telefoni :  011/6707565; 060/5449-002; 011/2015-718","Srbija, Grad Beograd, Beograd, Crveni krst, Gospodara Vucica"
NkPXvKqqi-P,2023-08-09,"Vracar, Lamartinova, 93m2",01.08.2023,01.08.2023,93,950,3.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 93 m² Uknjizeno: Da Ukupan broj soba: 3 Broj kupatila: 1 Spratnost: Visoko prizemlje Ukupan broj spratova: 3,"Izdajemo trosoban stan 93m2 na Vracaru u Lamartinovoj ulici. Stan se nalazi na viskom prizemlju zgrade sa 3 sprata. Sastoji se od hodnika, kuhinje sa trpezarijom, dnevne sobe, dve spavace sobe, kupatila i terase. Kompletno je namesten CG, klima Dobra lokacija, blizina parka, prevoza, marketa, skole Agencijska provizija 50% od dogovorene kupoprodajne cene ukljucuje: istrazivanje neophodno za pronalazenje adekvatne nekretnine, pomoc u pregovorima, provera dokumentacije, apliciranje za stambeni kredit, izrada ugovora/predugovora o kupoprodaji, organizacija primopredaje, zapisnik o primopredaji, pomoc pri prijavi poreza na apsolutna prava i eventualno oslobodjenje od istog, promena korisnika struje, infostana, vode, gasa... i sve ostalo sto podrazumeva Zakon o posredovanju u prometu i zakupu nepokretnosti. Kontakt telefoni : 011/6707565; 060/5449-002; 011/2015-718","Srbija, Grad Beograd, Beograd, Vracar (Centar), Lamartinova"
NkJu26oC6m7,2023-08-09,"ODLICNA LOKACIJA, Stari Grad, Trg Republike, 110m2",31.07.2023,31.07.2023,110,1500,4.0,Etazno,Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 110 m² Uknjizeno: Da Pozicija: Strogi centar grada Ukupan broj soba: 4 Broj kupatila: 1 Spratnost: 1 Ukupan broj spratova: 4,"U prilici smo da Vam ponudimo - na izdavanje - odlican stan u strogom centru grada kod Trga Republike Stan se nalazi u blizini Narodnog pozorista, Knez Mihajlove, Studentskog parka, Terazija Kvadratura stana - 110m2 Nalazi se na 1 spratu zgade sa 4 sprata Po strukturi je 3.5 soban sa tri spavace sobe, prolaznom dnevnom sobom, izdvojenom kuhinjom, kupatilom i terasom Grejanje - etazno na struju Stan se izdaje prazan Odlicna prilika kako za zivot tako i za poslovni prostor Agencijska provizija 50% od dogovorene kupoprodajne cene ukljucuje: istrazivanje neophodno za pronalazenje adekvatne nekretnine, pomoc u pregovorima, provera dokumentacije, apliciranje za stambeni kredit, izrada ugovora/predugovora o kupoprodaji, organizacija primopredaje, zapisnik o primopredaji, pomoc pri prijavi poreza na apsolutna prava i eventualno oslobodjenje od istog, promena korisnika struje, infostana, vode, gasa... i sve ostalo sto podrazumeva Zakon o posredovanju u prometu i zakupu nepokretnosti. Kontakt telefoni : 011/6707565; 060/5449-002; 011/2015-718   We have the opportunity to offer you - for rent - an excellent apartment in the very center of the city near Republic Square The apartment is located near the National Theater, Knez Mihajlova, Student Park, Terazija Square footage of the apartment - 110m2 It is located on the 1st floor of a 4-story building According to the structure, it is 3.5 rooms with three bedrooms, a walk-through living room, a separate kitchen, a bathroom and a terrace. Heating - floor-to-ceiling with electricity The apartment is rented out empty An excellent opportunity for both living and business space Agency commission 50% of the agreed purchase price includes: research necessary to find an adequate property, help in negotiations, checking documents, applying for a housing loan, drawing up a purchase contract/pre-contract, handover organization, handover record, help with tax declaration of absolute rights and possible exemption from the same, change of user of electricity, info station, water, gas... and everything else that is implied by the Law on Intermediation in Traffic and Leasing of Real Estate. Contact phones: 011/6707565; 060/5449-002; 011/2015-718  Имеем возможность предложить Вам - посуточно - отличную квартиру в самом центре города возле Площади Республики Квартира расположена недалеко от Национального театра, Князя Михайлова, Студенческого парка, Теразии. Площадь квартиры - 110м2. Находится на 1 этаже 4-х этажного дома По структуре это 3,5 комнаты с тремя спальнями, проходной гостиной, отдельной кухней, санузлом и террасой. Отопление - от пола до потолка электричеством Квартира сдается пустая Отличная возможность как для жизни, так и для бизнеса Комиссия агентства 50% от согласованной цены покупки включает в себя: необходимые исследования для поиска подходящей недвижимости, помощь в переговорах, проверку документов, подачу заявки на получение жилищного кредита, составление договора купли-продажи/предварительного договора, организацию передачи, запись передачи, помощь с налоговая декларация об абсолютных правах и возможном освобождении от них, смена пользователя электроэнергии, информационной станции, воды, газа... и все остальное, что подразумевается Законом о посредничестве в движении и сдаче в аренду недвижимого имущества. Контактные телефоны: 011/6707565; 060/5449-002; 011/2015-718","Srbija, Grad Beograd, Beograd, Stari Grad, Trg Republike"
NkywKaBE8bn,2023-08-09,"Vracar,Kalenic pijaca, Tomasa Jeza Salonac 3.5",02.08.2023,07.08.2023,80,850,4.0,"Centralno,",Da,Nenamesten,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 80 m² Uknjizeno: Da Stanje nekretnine: Standardna gradnja Opremljenost nekretnine: Nenamesten Pozicija: Centar Ukupan broj soba: 4 Broj kupatila: 2 Spratnost: 2 Ukupan broj spratova: 4,"Stan ima 2 ulaza, 2 ulazna hodnika, predsoblje, 2 velike spavace sobe, 2 kupatila , kuhinju, devojacku sobu, ostavu , terasu. Svaka prostorija ima prirodnu ventilaciju.","Srbija, Grad Beograd, Beograd, Vracar (Centar), tomasa jeza"
NkwSTbjgS2d,2023-08-09,"Vojvode Stepe, 41m2",10.07.2023,03.08.2023,41,720,2.0,Etazno,Ne,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 41 m² Uknjizeno: Da Opremljenost nekretnine: Namesten sa uredjajima Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 3 Ukupan broj spratova: 6,"U prilici smo  da vam ponudimo stan u Vojvode Stepe, u blizini Autokomande Stan je jednoiposoban kvadrature 41m2 Struktura stana - dnevna soba sa kuhinjom i trpezarijom, spavace sobe (sa garderoberom u koji se ulazi - walk in closet), kupatila i terase Stan se nalazi u novoj, luksuznoj zgradi na trecem spratu od mogucih sedam Zgrada ima aktivan video nadzorom, a sam stan je opremljen alarmom i blindiranim vratima Opremljen potpuno novim namestajem i belom tehnikom Grejanje na struju Agencijska provizija 2% od dogovorene kupoprodajne cene ukljucuje: istrazivanje neophodno za pronalazenje adekvatne nekretnine, pomoc u pregovorima,  provera dokumentacije, apliciranje za stambeni kredit, izrada ugovora/predugovora o kupoprodaji, organizacija primopredaje, zapisnik o primopredaji, pomoc pri prijavi poreza na apsolutna prava i eventualno oslobodjenje od istog, promena korisnika struje, infostana, vode, gasa... i sve ostalo sto podrazumeva Zakon o posredovanju u prometu i zakupu nepokretnosti. Kontakt telefoni      011/6707-565                                011/2015-718                                060/5449-002","Srbija, Grad Beograd, Beograd, Vozdovac, Vojvode Stepe"
NkNOAMJkfHw,2023-08-09,"Savski venac, Slavija , 82m2",12.06.2023,17.06.2023,82,1100,5.0,"Centralno,",Da,Nenamesten,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 82 m² Uknjizeno: Da Opremljenost nekretnine: Nenamesten Ukupan broj soba: 5 Broj kupatila: 1 Spratnost: 1 Ukupan broj spratova: 5,"U prilici smo da vam ponudimo stan koji se nalazi u mirnom delu Slavije. Stan se nalazi na 1. od pet spratova moderne zgrade sa liftom izradjene 2005 godine. Stan je nenamesten sa potpuno opremljenom kuhinjom sa svim kuhinjskim elementima i uredjajima kao i opremljenom trpezarijom, ugradnim policama i ormanima. Izuzetno pogodno za porodicno stanovanje, kao i za poslovni prostor. Struktura stana: dnevna soba, 2 spavace sobe, dodatna radna/spavaca soba, kuhinja sa trpezarijom, mala kuhinja, wc, ostava. Stan poseduje:   2 digitalne telefonske linije, izvedene telefonske prikljucke u svim prostorijama;  Interfon, kablovsku televiziju i internet;  Centralno grejanje i 3 klima uredjaja;  Blindirana ulazna vrata i prozore u svim prostorijama kao i Alarmni sistem G4S;  Pripadajuce podrumske prostorije.  Cena mesecne rente 1,000 eura + porez za pravna lica odnosno 1,100 eura za fizicka lica. Stan se moze izdavati i sa 1 ili 2 zasebna ogradjena garazna mesta u podzemnoj garazi sa fizickim i tehnickim obezbedjenjem koja se nalazi u okviru zgrade. Cena zakupa po garaznom mestu iznosi 120 eura.   Agencijska provizija 50% od dogovorene kupoprodajne cene ukljucuje: istrazivanje neophodno za pronalazenje adekvatne nekretnine, pomoc u pregovorima,  provera dokumentacije, apliciranje za stambeni kredit, izrada ugovora/predugovora o kupoprodaji, organizacija primopredaje, zapisnik o primopredaji, pomoc pri prijavi poreza na apsolutna prava i eventualno oslobodjenje od istog, promena korisnika struje, infostana, vode, gasa... i sve ostalo sto podrazumeva Zakon o posredovanju u prometu i zakupu nepokretnosti. Kontakt telefoni :  011/6707565; 060/5449-002; 011/2015-718","Srbija, Grad Beograd, Beograd, Slavija"
NkcalfGndZu,2023-08-09,lux salonac Vracar,04.07.2023,29.07.2023,130,2200,3.0,Centralno,Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 130 m² Uknjizeno: Da Stanje nekretnine: Lux Opremljenost nekretnine: Iznad standarda Ukupan broj soba: 3 Broj kupatila: 2 Spratnost: 2 Ukupan broj spratova: 4,"izdajem luksuzno sredjen i namesten salonski stan sa pogledom na Njegosevu, pogodan za diplomate.","Srbija, Grad Beograd, Beograd, Vracar (Centar), Njegoseva 73"
NkiyKkn-Emm,2023-08-09,"Dedinje, PET FRIENDLY, bez provizije",18.06.2023,11.07.2023,105,2300,3.0,Etazno,Da,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 105 m² Stanje nekretnine: Novogradnja Opremljenost nekretnine: Namesten sa uredjajima Ukupan broj soba: 3 Broj kupatila: 1 Spratnost: 2 Ukupan broj spratova: 3,"Luksuzan, dizajnerski uredjen stan u novijoj zgradi ispod Belog dvora. Stan poseduje dve spavace sobe, malu radnu pretvorenu u gardarober, dnevni boravak, kuhinja, kupatilo, tolaet i veliku terasu. Garazno mesto ukljuceno u cenu. Dozvoljeni kucni ljubimci  Agencijska provizija se ne placa 064/5591-107Viber Whatsapp","Srbija, Grad Beograd, Beograd, Dedinje (Beli dvor)"
NkC-GpaiElo,2023-08-09,"Stan bez mane, kod BW, sa parking mestom ID#1360",07.08.2023,09.08.2023,45,700,2.0,"Klima,",Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 45 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 4 Ukupan brој spratova: 6,Stan se izdaje na duze. Mogucnost zakupa parking mesta ispred zgrade po ceni od 100eur. Agencijska provizija 50%,"Srbija, Grad Beograd, Beograd, Beograd na vodi, Karadjordjeva"
Nk-QBzqBL5P,2023-08-09,"West Tower, izdavanje, lux 2.0, kao kanc.prostor, garaza ID#8685",07.08.2023,09.08.2023,60,1100,2.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 60 m² Stanje nekretnine: Novogradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 18 Ukupan brој spratova: 40,"Koncept kompleksa WEST 65, narocito Towera-a, jeste da, osim kvaliteta zivljenja, pravilnim investiranjem dobijete - vreme. Da budete blize svom radnom mestu, skoli, vrticu, da vas ceka parking mesto, a onda bezbedan i udoban dom u kome uzivate sa svojom porodicom. Namenjen je vama koji hocete da investirate u svoju buducnost i obezbedite nacin zivota u skladu sa najmodernijim zahtevima, a istovremeno sacuvate mir, sigurnost, udobnost. Zivot u Tower-u je bezbedan sa atmosferom prestiznog hotela, a ulazak iskljucivo stanari sa karticom. Na raspolaganju su SPA centar, (bazen dug 20m sa termalnom vodom, Jacuzzi, tursko kupatilo, sauna, gym), kozmeticki i frizerski salon, bioskop kao i direktan pristup iz Tower-a u mall. Na vama je samo da uzivate u luksuzu savremenog stanovanja i spektakularnoj panorami velegrada. Tower je izrastao u simbol Novog Beograda. Stan je luksuzan, po strukturi dvosoban i sastoji se iz ulaznog hodnika, ostave, kuhinje, dnevnog boravka sa trpezarijom, spavace sobe, degazmana, toaleta i kupatila. Izdaje se prazan, kao kancelarijski prostor. U cenu je uracunato i garazno mesto. Obavezan depozit.  069/2191-847 i 011/2283-734","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 65, Omladinskih brigada"
NkRizmeR2mo,2023-08-09,"Stari Kosutnjak, izdavanje, dvosoban stan sa garazom ID#8703",07.08.2023,09.08.2023,55,500,2.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 55 m² Uknjizeno: Da Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 2 Ukupan brој spratova: 4,"U delu prestonice okruzenom sa puno zelenila, pozicioniran na odlicnoj lokaciji, blizu svih infrastrukturnih sadrzaja, nalazi se ovaj dvosoban stan za izdavanje. Smesten je u zgradi koja je uredna, odrzavana, u mirnoj ulici bez buke. Stan je svetao i sastoji se iz kuhinje, dnevnog boravka, spavace sobe, kupatila i lodje. Uz stan se izdaje i garaza od 20m2. Obavezan depozit! 069/2191-847 i 011/2283-734","Srbija, Grad Beograd, Beograd, Kosutnjak, Reljkoviceva"
NkOy0z7Tepc,2023-08-09,Izuzetan stan kod Liona,04.08.2023,07.08.2023,41,450,N/A,-,Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Jednosoban stan Kvadratura: 41 m²,"Izuzetan stan kod Liona, 1.5, 41m2, 7/8, lift,  kompletno opremljen, CG, lodja 5m2, ostava, izdaje vlasnik, 450 evra","Srbija, Grad Beograd, Beograd, Zvezdara, Radoja Domanovica"
NkoeBNfRlLR,2023-08-09,"Novi Beograd, Blok 65, Omladinskih brigada, 2.0, 60m2, 1100 EUR",26.01.2023,09.08.2023,60,1100,2.0,-,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 60 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 2 Spratnost: 2,"Komforan, luksuzno sredjen i opremljen stan u naselju West 65, poseduje odvojenu spavacu sobu, terasa sa pogledom na Kulu, grejanje je na gas, zgrada poseduje video nadzor, garazno mesto uracunato u cenu. Agencijska provizija se placa u iznosi od 50% + PDV dogovorene jednomesecne zakupnine za period zakupa u trajanju do 12 meseci GREJANJE - Gas, sprat 2/, LIFT, TERASA, GARAZA, PARKING, NOVOGRADNJA, INTERFON, VIDEO NADZOR ID oglasa: 19613.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 65, Omladinskih brigada"
NkBzvL7nILB,2023-08-09,"Hotel Jugoslavija, 2.5 renoviran, id 4586",14.07.2023,14.07.2023,88,900,3.0,Centralno,Ne,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 88 m² Opremljenost nekretnine: Namesten sa uredjajima Ukupan broj soba: 3 Broj kupatila: 2 Spratnost: 3 Ukupan broj spratova: 8,"Renoviran prostran trosoban stan kod Hotela Jugoslavija. Mogucnost iznajmljivanja kao poslovnog prostora, uz zadrzavanje ili iznosenja namestaja ili dela namestaja. Agencijska provizija 50%.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 11 (Hotel Jugoslavija), Bulevar Marsala Tolbuhina"
NkK7VamM1sD,2023-08-09,"VRACAR - 3.0 nekoriscen, novogradnja, garaza",03.08.2023,03.08.2023,100,2000,3.0,Centralno,Da,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 100 m² Stanje nekretnine: Lux Opremljenost nekretnine: Namesten sa uredjajima Pozicija: Centar Ukupan broj soba: 3 Broj kupatila: 1 Spratnost: 2 Ukupan broj spratova: 6,Zakup na duze. Agencijska provizija 50%.,"Srbija, Grad Beograd, Beograd, Vracar (Hram), Cernisevskog"
NkDmeWQEv-X,2023-08-09,TROSOBAN NENAMESTEN STAN,12.07.2023,05.08.2023,90,250,3.0,TA,Ne,Nenamesten,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 90 m² Stanje nekretnine: Standardna gradnja Opremljenost nekretnine: Nenamesten Ukupan broj soba: 3 Broj kupatila: 1 Spratnost: Prizemlje Ukupan broj spratova: 1,"Izdajem ozbiljnoj porodici na duze vreme prostran i svetao trosoban stan u prizemlju kuce, bez namestaja. sa dve odvojene spavace sobe. Demit fasada, PVC prozori, parket, klima, KATV. Blizina Roda marketa i autobusa 95,96,101,104,105,107. Grejanje na struju ili drva. Bez kucnih ljubimaca. Mesecno 250e plus depozit. Nije za sezonske radnike. Vlasnik telefon 064/05-135-95. Zvati posle 16h.","Srbija, Grad Beograd, Beograd, Borca I, Gavrila Mijakica 46"
NkKy8LVGyiA,2023-08-09,Odlican stan BLOK 19 A - Dvoiposoban - Idealan za porodicu,04.08.2023,06.08.2023,70,700,2.5,Centralno,Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 70 m² Uknjizeno: Da Stanje nekretnine: Izvorno stanje Opremljenost nekretnine: Iznad standarda Pozicija: Centar Ukupan broj soba: 2.5 Broj kupatila: 1,"Odlicna konekcija sa ostatkom Novog Beograda (autobus, tramvaj) i centrom grada - Gazela.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 19a, Vladimira Popovica"
NkKirUZJXRi,2023-08-09,"Novi Beograd, Hotel Jugoslavija, Gramsijeva, 3.0, 65m2, 800 EUR",04.08.2023,09.08.2023,65,800,3.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 65 m² Uknjizeno: Da Stanje nekretnine: Standardna gradnja Ukupan broj soba: 3 Spratnost: 1 Ukupan brој spratova: 4,"Funkcionalan renoviran stan na odlicnoj lokaciji, kompletno opremljen, dve odvojene spavace sobe, slobodan parking. Agencijska provizija se placa u iznosi od 50% + PDV dogovorene jednomesecne zakupnine za period zakupa u trajanju do 12 meseci GREJANJE - CG, sprat 1/4, TERASA, PARKING ID oglasa: 20778.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 11 (Hotel Jugoslavija), Gramsijeva"
Nk6MdWSRsg6,2023-08-09,"Novi Beograd, Blok 65, Tosin bunar, 3.0, 65m2, 1200 EUR",26.07.2023,09.08.2023,65,1200,3.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 65 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 3 Spratnost: 6,"Lux stan u kvalitetnom poslovno-stambenom kompleksu Savada 3, gradnja Neimar V. U izgradnji su korisceni najkvalitetniji materijali i oprema renomiranih proizvodjaca. Grejanje je centralno, sa toplane, uz kontrolu pomocu kalorimetara, a hladjenje je obezbedjeno multisplit sistemom. Stan je veoma funkcionalan, sastoji se iz prostranog dnevnog boravka i kuhinje, odvojenog spavaceg bloka koji ima dve spavace sobe, kupatila, toaleta i terase. Stan je u potpunosti namesten i opremljen svom potrebnom tehnikom. U cenu je uracunato garazno mesto. Agencijska provizija se placa u iznosi od 50% + PDV dogovorene jednomesecne zakupnine za period zakupa u trajanju do 12 meseci GREJANJE - CG, sprat 6/, LIFT, TERASA, GARAZA, PARKING, NOVOGRADNJA, INTERFON, VIDEO NADZOR ID oglasa: 17807.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 65, Tosin bunar"
Nkkj7MuSFwq,2023-08-09,"Novi Beograd, Blok 67a, A blok, Urosa Martinovica, 2.0, 52m2, 1000 EUR",26.05.2022,09.08.2023,52,1000,2.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 52 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 2 Spratnost: 2 Ukupan brој spratova: 7,"Izuzetno lepo i luksuzno sredjen stan u prvoj fazi naselja A blok, moderno uredjen, odvojena spavaca soba, grejna povrsina 47m2 i terasa 5m2, cg po utrosku, video nadzor, uredjeno naselje sa centralnim parkom, u cenu je uracunato u garazno mesto. Agencijska provizija se placa u iznosi od 50% + PDV dogovorene jednomesecne zakupnine za period zakupa u trajanju do 12 meseci GREJANJE - CG, sprat 2/7, LIFT, TERASA, GARAZA, PARKING, NOVOGRADNJA, INTERFON, VIDEO NADZOR ID oglasa: 18033.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 67a, Urosa Martinovica"
