id_property,date_scrape,property_name,date_post,date_update,area_m2,price_eur,rooms,heating,parking,furniture,details,description,location
NkKDxdPud-W,2023-08-09,"Palilula, Centar, 5.0 namesten ID#15469",03.08.2023,09.08.2023,250,3000,5.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Petosoban+ stan Kvadratura: 250 m² Stanje nekretnine: Izvorno stanje Ukupan broj soba: 5 Broj kupatila: 1 Spratnost: 2 Ukupan brој spratova: 2,"Izdaje se petosoban namesten stan u blizini Vukovog spomenika. Stan se nalazi blizu centra i namestaj je moguce i izneti i uneti, po dogovoru. Ima opremljene tri spavace sobe i dva dnevna boravka, kupatilo, kuhinju, gostinsko kupatilo. Agencijska provizija je 50% od ugovorene cene zakupa.","Srbija, Grad Beograd, Beograd, Centar (uzi), Milana Tankosica"
NkFoQ_92LWq,2023-08-09,Novi Beograd - West 65 ID#53847,03.08.2023,09.08.2023,66,1000,2.0,"Klima,",Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 66 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 3 Ukupan brој spratova: 6,"Provizija: 50% od prve mesecne zakupnine ,","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 65, Omladinskih Brigada"
Nk0YvvMdp9f,2023-08-09,Novi Beograd - Blok 63 ID#53848,03.08.2023,09.08.2023,51,700,2.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 51 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 12 Ukupan brој spratova: 14,"Provizija: 50% od prve mesecne zakupnine ,","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 63, Gandijeva"
Nkcp0Wau2L9,2023-08-09,"Skadarlija,Despota Stefana,odlican PP ID#89689",03.08.2023,09.08.2023,135,1200,5.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Petosoban+ stan Kvadratura: 135 m² Stanje nekretnine: Izvorno stanje Ukupan broj soba: 5 Broj kupatila: 1 Spratnost: 2,"Izdaje se poslovni prostor u Bulevaru Despota Stefana,blize Skadarliji.Useljiv je odmah.Ima 5 prostorija,odlican,renoviran. Agencijska provizija je 50% od ugovorene cene zakupa.","Srbija, Grad Beograd, Beograd, Stari Grad, Bulevar Despota Stefana"
Nkgz_uAMT5V,2023-08-09,Novi Beograd - Dr ivana ribara ID#53860,03.08.2023,09.08.2023,51,600,2.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 51 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: Prizemlje Ukupan brој spratova: 7,"Provizija: 50% od prve mesecne zakupnine ,","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 45 (TC Enjub), Dr Ivana Ribara"
NkBLixwCF4c,2023-08-09,Zemun - Dunovski virovi ID#53856,03.08.2023,09.08.2023,48,550,2.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 48 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 1 Ukupan brој spratova: 6,"Provizija: 50% od prve mesecne zakupnine ,","Srbija, Grad Beograd, Beograd, Zemun (Centar), Dunavskih virova"
NkVkBNSn_C2,2023-08-09,Novi Beograd - Ledine ID#53779,03.08.2023,09.08.2023,45,400,2.0,"Klima,",Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 45 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 2 Ukupan brој spratova: 4,"Provizija: 50% od prve mesecne zakupnine ,","Srbija, Grad Beograd, Beograd, Ledine"
NkbgRJnIXv3,2023-08-09,Novi Beograd - A blok ID#53743,03.08.2023,09.08.2023,35,750,2.0,"Klima,",Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 35 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 1 Ukupan brој spratova: 10,"Provizija: 50% od prve mesecne zakupnine ,","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 67a, Jurija Gagarina"
NkmU1rHfkPJ,2023-08-09,Izdajem nov lux stan -Bulevar kralja Aleksandra 453,03.08.2023,09.08.2023,28,500,1.0,Etazno,Ne,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Garsonjera Kvadratura: 28 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Opremljenost nekretnine: Namesten sa uredjajima Pozicija: Centar Ukupan broj soba: 1 Broj kupatila: 1 Spratnost: Visoko prizemlje Ukupan broj spratova: 10,Grejanje je na elektricnom kotlu.,"Srbija, Grad Beograd, Beograd, Zvezdara, Bulevar kralja Aleksandra 453"
NkDhhGund1A,2023-08-09,"Kalemegdan, penthouse, polunamesten, od 15.07 ID#816332",03.08.2023,09.08.2023,155,1900,5.0,"Klima,",Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Petosoban+ stan Kvadratura: 155 m² Stanje nekretnine: Standardna gradnja Ukupan broj soba: 5 Broj kupatila: 1 Spratnost: 6 Ukupan brој spratova: 6,"Penthouse, petosoban, 155m2, preko puta Kalemegdana, terasa skoro duz celog stana, polunamesten, cela kuhinja, plakari, masina za sudove, masina za ves, interfon, odvojena prostorija- garderober, 4 klime, podrum, garaza. Useljivo od 15.07. Agencijska provizija je 50% od ugovorene cene zakupa.","Srbija, Grad Beograd, Beograd, Stari Grad, Gospodar Jovanova"
